source_url,strain_name,primary_generation,breeding_method,phenotype,lineage,breeder_name,bank_name,seed_gender,flowering_behavior,sativa_percentage,indica_percentage,thc_min,thc_max,thc,cbd_min,cbd_max,cbd,flowering_days_min,flowering_days_max,height_indoor_description,height_indoor_cm,yield_decription,indoor_yield_min_g,indoor_yield_max_g,outdoor_yield_min_g,outdoor_yield_max_g,effects,flavors,terpenes,grow_difficulty,scraped_at,strain_info,quality_score,confidence_notes
https://www.northatlanticseed.com/product/alien-technology-BX-f/,Alien Technology,,BX,#1,,Purple Caper Seeds,North Atlantic Seed Company,Feminized,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T16:47:44.706716Z,"Alien Technology BX (F), also known as Illegal Alien, is a highly regarded cannabis strain available through North Atlantic Seed Co. This strain has been recognized for its premium genetics, earning the #1 spot at the ICA Cannabis Awards. North Atlantic Seed Co. offers fast shipping for this award-winning feminized variety.",1,"The webpage content provided is primarily navigational and promotional, lacking any specific strain details such as THC/CBD percentages, genetics ratios, flowering time, effects, or flavors. The enhanced_info is derived solely from the limited scraped data. All numerical and list fields are null due to the absence of information."
https://www.seedsman.com/us-en/illegal-alien-feminized-seeds-puca-ilal-fem,Alien Technology,,BX,,,Seedsman,Seedsman,Feminized,,,,,,,,,,,,,,,,,,,,,,,2025-11-25T01:34:47.741820Z,"Information regarding the Illegal Alien (Alien Technology BX) strain, including its THC/CBD content, genetic lineage, flowering time, effects, and flavors, could not be extracted from the provided webpage content. The webpage primarily contained general e-commerce information and a JavaScript enablement prompt, offering no specific details about the cannabis strain.",1,The provided webpage content contained no relevant information about the 'Illegal Alien (Alien Technology BX)' strain. All fields are null due to the complete absence of data in the source.
https://neptuneseedbank.com/product/canna-research-co-berryfreAK BX1/,BerryFreak,,BX2,,PineapplesorbetfreAK Nl X BerryFreak,Canna Reseaarch Co,Neptune Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T03:52:35.006572Z,"Canna Research Co BerryfreAK BX1 is available in packs containing 12 or more regular seeds. This strain is a genetic cross, tracing its lineage back to PineapplesorbetfreAK Nl and BerryFreak.",1,"Webpage content was empty, so no additional information could be extracted beyond the initial scraped data. Most key strain details are missing."
https://neptuneseedbank.com/product/envy-genetics-blowpops-BX1/,Blowpops,,BX1,,,Envy Genetics,Neptune Seed Bank,,,,,,,,,,,56,65,,,,,,,,,,,,2025-11-24T03:06:38.535242Z,"Envy Blowpops BX1 is a cannabis strain bred by Envy Genetics. This strain is a backcross (BX1) of BlowPops, resulting from a cross between BlowPops and CaliSunset. It is typically available in packs of 12 regular seeds. The flowering time for Envy Blowpops BX1 is estimated to be between 56 and 65 days.",1,"Webpage content was empty. All information is derived solely from the provided scraped data. Significant data points such as THC/CBD percentages, genetic ratios, effects, and flavors are missing."
https://www.cannabis-seeds-bank.co.uk/sincity-seeds-blue-power-BX/prod_3942,Blue Power,,BX,,,Sin City Seeds,The Attitude Seed Bank,Regular,Photoperiod,,,,,,,,,,,,,,,,,,,,,,2025-11-25T16:33:44.002348,"The Blue Power BX strain, offered by SinCity Seed Bank, currently lacks detailed information regarding its cannabinoid profile, genetic lineage, flowering time, typical effects, or flavor characteristics based on the provided webpage content. Further information would be required to provide a comprehensive description of this strain.",1,"The provided webpage content primarily lists seed banks and brands, with no specific details about the Blue Power BX strain's characteristics (THC, CBD, genetics, flowering time, effects, flavors). All fields are null due to lack of information."
https://www.cannabis-seeds-bank.co.uk/sincity-seeds-blue-power-BX2/prod_7162,Blue Power,,BX2,,(Sour Dubb X Master Kush) X White Moonshine,Sin City Seeds,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,50,60,Stretch Medium,,,,,,,,,,,2025-11-25T13:35:37.128918,"Blue Power BX2 is an Indica-dominant hybrid cannabis strain developed by SinCity Seeds as part of their ORIGINALS LINE (BLUE POWER HYBRIDS). Its genetic lineage traces back to a cross of (Sour Dubb x Master Kush) with White Moonshine. This strain typically flowers within 50 to 60 days and is characterized by a medium height. It is suitable for cultivation in indoor, outdoor, and greenhouse environments.",2,"The provided webpage content did not contain any specific strain details for Blue Power BX2 beyond confirming the breeder and strain name. All extracted information is derived from the scraped data. Key details such as THC/CBD percentages, specific sativa/indica ratios, effects, and flavors are missing."
https://www.northatlanticseed.com/product/blue-power-ix2-r-limited/,Blue Power,F2,IX2,#1,,Sin City Seeds,North Atlantic Seed Company,Regular,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T18:06:26.306819Z,"The provided webpage content for Blue Power IX2 (R) [LIMITED] from North Atlantic Seed Co. primarily consists of navigational elements, age verification, and general e-commerce information. While it confirms the strain's availability and mentions its recognition by the ICA Cannabis Awards, it does not provide specific details regarding its THC or CBD percentages, genetic lineage (sativa/indica ratio), flowering time, typical effects, or flavor profile.",1,"The webpage content provided is almost entirely navigational and marketing copy. It does not contain any specific data points for THC, CBD, genetics, flowering time, effects, or flavors for the Blue Power IX2 (R) strain. All data fields are null due to absence of information."
https://www.northatlanticseed.com/product/blue-power-ix2-f-ships-early-april/,Blue Power,F2,IX2,#1,,Sin City Seeds,North Atlantic Seed Company,Feminized,,,,,,,,,,,,,,,,,,,,,"Sour Kush, Vanilla, Berry",,2025-11-24T18:22:24.188337Z,"Blue Power IX2 (F) is a feminized cannabis strain available for purchase online from North Atlantic Seed Co. This strain has been recognized by the ICA Cannabis Awards, where it was voted #1. North Atlantic Seed Co. emphasizes fast shipping and premium genetics for their offerings, including Blue Power IX2 (F).",1,"The provided webpage content is primarily navigational and promotional for North Atlantic Seed Co., and does not contain specific strain details such as THC/CBD percentages, genetics ratios, flowering time, effects, or flavors for Blue Power IX2 (F). The enhanced_info is based solely on the limited descriptive text provided in the scraped data."
https://www.cannabis-seeds-bank.co.uk/sincity-seeds-blue-power-ix2/prod_8588,Blue Power,F2,IX2,,Blue Power F2 X Blue Power IX1,Sin City Seeds,The Attitude Seed Bank,Regular,Photoperiod,,,,,,,,,50,60,,,,,,,,,"Sour Kush, Vanilla, Berry",,,2025-11-25T16:33:48.501771,"Blue Power IX2 is a limited-edition cannabis strain from SinCity Seeds, created to commemorate their 10 Year Anniversary. This exclusive hybrid is a genetic cross of Blue Power F2 with Blue Power IX1. It boasts a rapid flowering time of 50-60 days and is capable of producing substantial yields, estimated between 450-750 grams per square meter. The strain offers a unique and delightful sensory experience with a tantalizing aroma and flavor profile featuring distinct notes of Sour Kush, Vanilla, and Berry.",2,"The provided webpage content was generic and did not contain specific strain information. All extracted data, including flowering time and flavors, was sourced solely from the 'SCRAPED DATA'. THC, CBD, sativa/indica percentages, and effects were not available in the provided texts."
https://neptuneseedbank.com/product/blue-power-ix2-strain-seeds/,Blue Power,F2,IX2,,,Sin City Seeds,Neptune Seed Bank,,,,,,,,,,,,,,,Medium to High,,,,,relaxing,"berry, kush","Kushy, Sour, Sweet",,2025-11-24T02:08:07.583195Z,"Blue Power IX2 is a strain developed by Sin City Seeds, recognized for its appealing berry and kush flavor profile. This variety is noted for its strong resin production and is reported to induce relaxing effects. Feminized seeds of Blue Power IX2 are available.",1,"Webpage content was empty. All extracted data, including effects and flavors, was derived exclusively from the 'Current Info' field provided in the scraped data. Most key metrics (THC, CBD, genetics, flowering time) are missing."
